claim,evidence_id,authority,scope,caveat,decision_use
"Skill-grounded scoring shows better aggregate inter-judge consistency than generic-rubric scoring in the reported comparison.",E01,"reviewed primary paper result","92 Figma runs reported in rubric comparison","Comparison changed author source rubric count grouping weights anchor language and observability together","Supporting: motivates a controlled pilot, but cannot attribute the difference specifically to skill grounding."
"The generic-rubric comparator had lower reported aggregate agreement.",E02,"reviewed primary paper result","Same 92 Figma runs","Does not isolate expert authorship as the cause","Supporting comparator evidence for a pilot; not a causal basis for adoption."
"Expert-rubric scores had lower reported judge variance.",E03,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Supporting evidence for score consistency while explicitly not establishing validity."
"The generic-rubric comparator had higher reported judge variance.",E04,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Supporting comparator evidence, limited to consistency rather than validity."
"Automated output grades do not yet track individual human judgments well enough to support unqualified adoption.",E05,"reviewed primary paper result","Figma individual runs","One Figma domain expert limits human-baseline generality","Disconfirming: weak individual-level human/LLM concordance requires human oversight and prospective validation."
"Automated skill grades lack demonstrated individual-level human concordance and independent process validation.",E06,"reviewed primary paper result","Figma individual runs","No independent human process annotation validates the skill judges","Disconfirming: blocks treating skill scores as validated professional judgments."
"The configured-system ablation is directional and heterogeneous rather than a stable general effect.",E07,"reviewed primary paper result","Claude Codex and Gemini harness/model systems","Sample is underpowered and harness/model/integration factors remain bundled","Mixed: justifies further controlled testing but not immediate adoption or a general causal claim."
"One configured-system subset showed a large directional gain.",E08,"reviewed primary paper result","Subset of the 7 paired Figma runs","Too few runs for a stable causal adoption claim","Supporting for a pilot only; the estimate is too unstable for adoption."
"Some no-skill runs deployed, so deployment outcomes do not isolate the skill procedure's effect.",E09,"reviewed primary paper result","Seven paired Figma runs","Deployment difference alone cannot separate procedure content from integration and stochasticity","Disconfirming for causal adoption; informs the need to control integration and stochasticity."
"Pairwise preference did not consistently establish absolute professional readiness.",E10,"reviewed primary paper result","31 rated Figma tasks with one domain expert","Single-expert threshold is not a universal professional standard","Disconfirming: adoption requires a separately validated absolute-readiness gate."
