,Similar/Different,Similarity w/,Content,Intents,Responses,Location
A1,S,"B4,B22",ip-address,variable explanation,IP address. Local network address. Mapped as 0-9 for privacy purpose.,B1
A2,S,B4,ip-n,Implication of the variable,"One IP address does not mean one individual. In this dataset, we can assume one IP as 
one individual(or a group). But in general, IP address can be changed (like carrier), or same 
address can represent multiple individuals.",B1
A3,D,,ip-0,dataset explanation,"Local IP ""0"" tried to connect to ISP ""209"" one time.",B2
A4,D,,ip-4,dataset explanation and implication,"After the attempt in question, IP number 4 was no longer scanned after September 18. 
This suggests that it may have been blocked due to abnormal activity.",B3285
A5,S,"B5, B2, B18",ip-0,dataset explanation and implication,"IP number 0 attempts connections with a relatively large number of ASNs compared to 
other IP addresses, yet each individual connection count is very low. This indicates a 
possible port scan.",B4
A6,D,,port-scan,variable explanation in the dataset,"A port scan is an attempt by a particular IP address to initiate random connections in 
order to discover vulnerabilities, which could subsequently be exploited for an attack.",B4
A7,D,,ip-n,dataset explanation and implication,"IP number 1 was blocked before September. There is no evidence regarding the 
reason for its blocking.",B45
A8,D,,ip-n,dataset explanation and implication,"IP number 5 disappeared after September 5. Although it may have been blocked, 
there are various possible explanations, such as the user discontinuing internet access. 
Based on the current data, no abnormal pattern is evident, so it is likely that causes other 
than blocking are responsible. ",B725
A9,S,B11,anomaly detection,Another interpretation of the dataset,"Alternatively, there may have been another anomaly that cannot be identified 
solely from the numerical data.",B725
A10,S,"B15, B6",r-asn,variable explanation,"A Remote Autonomous System Number (Remote ASN) is a numerical identifier for 
an Internet Service Provider. For instance, this identifier distinguishes providers s
uch as Google or Amazon, which exchange traffic over networks (internet connections). ",C1
A11,S,B10,"asn, isp",dataset analysis, It is presumed that there is no correlation between the assigned ASN and the ISP.,C3641
A12,S,"B7, B14, B22",flow,variable explanation,"A flow number indicates the volume of network traffic (internet connections) that occurs on a 
given date between a specific IP address and its Internet Service Provider 
(in this case, the Remote ASN).",D1
A13,S,"B17,B12, B13",anomaly detection,dataset explanation and implication,"To determine whether a specific IP address’s connection attempts are normal or anomalous, 
one must compare them to that IP’s average connection frequency. If an IP’s connections to 
a particular ASN deviate significantly—whether more or fewer—from other periods or services, 
an anomaly should be suspected.",D15
A14,S,B17,high traffic volume,dataset explanation and implication,"IP number 4 has made an abnormally large number of connection attempts to 
service number 3671, suggesting a possible DDoS attack, in which excessive 
network connections overload the server.",D3285
A15,S,B1,high traffic volume,dataset explanation and implication,"A high volume of traffic (internet connections) is not inherently problematic, but if the 
frequency of connection attempts exceeds the normal average by a substantial margin, 
a DDoS attack—where excessive connections overload the network and disrupt normal 
internet activity—should be suspected.",D3642
,,,,,,
,,,,,,
B1,S,A15,high volume of traffic,dataset explanation and implication,"When effectively all flow counts fall in a certain range, the outliers we identify (e.g., flows 
greater than 200,000) become more meaningful and likely to indicate unusual traffic. In other 
words, using the visualization to identify this normal range is useful for performing the task
 of identifying compromised workstations.","""colums"": [""l_ipn""]"
B2,S,A5,"l-ipn, f",variable explanationa and implication,"Each count is an instance in which a local workstation was connected to a remote IP 
address. A higher number of connections may indicate that a local workstation is compromised, 
as it is being used by a botnet in addition to the normal behavior of the user(s)","""colums"": [""l_ipn"", ""f""], ""rows"": [3690, 3873]"
B3,D,,date,variable explanation,date: date when the information was gathered about the connection,"""colums"": [""date""], ""rows"": [2617, 1569, 5090, 3753]"
B4,S,A1,ipn,variable explanation,"Integer representation of the IP address of the local workstation. Ranges from 0-9 
(i.e., there are 10 distinct local workstations in this dataset).","""colums"": [""l_ipn""], ""rows"": [382, 1371, 3781, 4941, 5524, 2921]"
B5,S,A5,anomaly detection,dataset explanation and implication,"If an outlier number of flows corresponds to one ASN, it is likely that this ASN is being 
used for adversarial traffic, in this case, the botnet.","""colums"": [""r_asn"", ""f""], ""rows"": [3690, 3873]"
B6,S,A10,asn,variable explantion,ASN number representing the external IP address the local workstation is connected to.,"""colums"": [""r_asn""], ""rows"": [2171, 4170, 2627, 4857, 1558, 3978]"
B7,S,A12,flow,variable explanation,"The number of flows between the local workstation and the remote workstation on 
the provided date.","""colums"": [""f""], ""rows"": [1174, 2727, 1964, 1555, 367, 1246]"
B8,D,,flow,dataset explanation and implication,"The two largest flow counts correspond to the same local workstation, remote address, 
and are within 1 day of each other. This is an instance of very unusual behavior that 
should be examined further.","colums"": [""date"", ""l_ipn"", ""r_asn"", ""f""], ""rows"": [3283, 3128, 3283]"
B9,D,,subpopulation,dataset explanation,No,
B10,S,A11,"l-ipn, r-asn, f",variable explanation and implication,"The combination of 'l_ipn' and 'r_asn' designates a specific connection between a local 
workstation and a remote machine. From this, insights can be drawn about whether this 
connection is legitimate or because the local workstation is compromised by, 
e.g., incorporating the flow ('f') or the number of days these two machines have connected.",
B11,S,A9,l-ipn,dataset explanation and implication,"They correlate to the IP addresses of the local workstations used in the study behind 
this dataset.",
B12,S,A13,"l-ipn, r-asn",variable explanation and implication,Anomalous values of the flow may indicate an unsecured connection.,"""relatedRow"": [1, 5], ""relatedCol"": [""f""]}"
B13,S,A13,l-ipn,variable explanation and implication,"Increased frequency of a specific l_ipn value (corresponding to a local workstation) may 
indicate that it has been compromised, as the botnet is increasing its network traffic.",
B14,S,A12,task,dataset explanation and implication.,"I believe the original task is to identify the compromised local workstations. A tangential 
task could be identifying the ASN numbers corresponding to remote IPs the botnets 
may be running/utilizing.",
B15,S,A10,"l-ipn, r-asn",variable explanation,"date: date for which the connection data is being reported.\nl_ipn: Integer representation of 
the IP address used by the local workstation.\nr_asn: ASN number of the remote IP 
address/machine the local workstation is connected to.\nf: the number of flows between
 the local workstation and remote machine on that day.",
B16,D,,dataset role,dataset explanation,The networking. We are trying to capture some cybersecurity issues on this dataset.,
B17,S,A13,anomaly detection,dataset analysis and implication,"Traffic may increase for a local workstation on certain dates or ranges of dates, including the 
range of remote machines it connects to. For example, 'l_ipn' 4 sees a massive increase
 of 'f' (the number of flows) with the 'r_asn' 3671. Such instances are outliers, which, in
 this case, we want to identify and track because they may suggest that the local workstation
 is compromised.",
B18,S,A5,anomalies,dataset analysis,THere exist some anomalies in between that show some evidence of cyberattacks.,
B19,D,,accuracy,conditions of a good dataset,"The accuracy matters, the level of details also matter, and that it shows various pattern is 
also a good factor of a good dataset.",
B20,,,sensitivity,dataset explanation,"No, there is no sensitive data in this dataset.",
B21,D,,dataset role,dataset explanation and implication,"This dataset tracks internet traffic between 10 local workstations and remote access points 
for eight days. During the tracking, at some point, a few of the workstations were 
compromised and added to botnets. The purpose of the dataset is to use the provided 
data to detect when and if the workstations were compromised.",
B22,S,A1,confidentiality risk,dataset explanation,"I don't believe so; the only data source that may pose confidentiality risks is the IP address of 
the local workstations, which the dataset providers map to an integer from 0-9.",
