,Similar/different,Similarity w/,Content,Intents,,,
A1,S,B5,"investment, cashflow",Explaining definitions,,"For example, when a company acquires or disposes of property, plant, and equipment for its business, or acquires financial assets for investment purposes, cash flows from investing activities occur.",Cash flow from investing activities
A2,S,B4,verification,Explaining definitions,,"Using a verification formula in that column, you check whether the difference between the beginning and ending balances in the statement of financial position matches the changes from a cash flow perspective, ensuring everything is fully reflected.",검증
A3,D,,cash flow statement,"Explaining the value, and implications behind the dataset.",,This Excel file is used to prepare the statement of cash flows among the financial statements.,2023-12-31
A4,D,,cash flow statement,"Explaining the value, and implications behind the dataset.",,Preparing the statement of cash flows involves interpreting changes in balance sheet accounts from the perspective of cash and classifying them into respective cash flows.,2023-12-31
A5,D,,ending balance,Explaining dataset,,That column represents the ending balance for each account in the statement of financial position.,2024-12-31
A6,D,,beginning balance,Explaining dataset,,That column represents the beginning balance for each account in the statement of financial position.,2023-12-31
A7,S,B17,"beginning, ending balance",Explaining dataset (columns),,That column shows the difference between the beginning and ending balances for each account. It is used to verify completeness by matching with cash flow changes.,Diff
A8,S,B4,reconciliation,Explaining mechanism based on example in the dataset,"Which discrepancies can be identified, and what do they mean?","If items on the statement of financial position are missing or amounts do not match, it becomes impossible to accurately reflect changes in cash flow. Consequently, the ending cash balance will not reconcile with the beginning balance after considering the identified cash flows.",
A9,S,B24,"disposal, equipment",Explaining dataset,What transactions can explain the changes in cash flow?,"If a vehicle recorded at 500,000 KRW in the books is disposed of for 1,000,000 KRW, 1,000,000 KRW of investing cash flow arises from that disposal, and a disposal gain of 500,000 KRW on property, plant, and equipment is recognized.",
A10,S,B19,operating asset,,"Please explain the dynamics of cash flows reflected in the financial statements, especially changes from operating activities.","If accounts receivable—an operating asset—increase by 500,000 KRW under the same profit and loss scenario, it indicates a decrease of 500,000 KRW in cash flows from operating activities. Conversely, if accounts payable—an operating liability—increase by 500,000 KRW, it indicates a 500,000 KRW increase in cash flows from operating activities.","(['Cash flow from operating activities', 'We feel it'], [11, 12])"
A11,S,B11,dividends,Explaining mechanism based on dataset,"Please describe the relationship between dividends and cash flow from operating activities, particularly from a liquidity management perspective.","Companies pay dividends from cash earned through operating activities, and dividends are only distributed if sufficient liquidity is available.","(""['dividends', 'cash flow']"",""[12, 74]"")"
A12,S,B9,retained earnings,Explaining mechanism.,What events caused the changes in retained earnings?,"The company's net income becomes retained earnings, which can decrease through dividends or other capital transactions with shareholders.",
A13,S,B10,"operating, investing, financing, or non-cash flows",Explaining dataset,What does this dataset represent?,"This is the base data for preparing the statement of cash flows. Changes between the beginning and ending balance sheets are classified into operating, investing, financing, or non-cash flows.",
A14,S,B19,debt,Explaining mechanism.,What information do the debt items provide about the financial stability of the company?,"The larger the debt, the higher the risk of bankruptcy, which reduces a company’s stability, while less debt generally indicates greater financial stability.",
A15,S,B23,beginning and ending balance,Provide background knowledge about a part of dataset,How were the values in this dataset collected?,We bring in the beginning and ending balances from the prepared statement of financial position and aggregate information based on the accounting entries made in the analysis sheet.,
A16,D,,liquidity,Explaining implications. ,What is the explanation for the changes in cash holdings and their impact on overall liquidity?,"Because cash is the most liquid asset, as cash holdings increase, liquidity increases.","(['Quick assets', 'Cash'], [1, 2])"
A17,S,"B3, B7",working capital,Explaining mechanism based on dataset,How do you interpret the relationship between operating cash inflows and components of working capital?,"An increase in opreating asset implies more cash was spent to support it, reducing cash on hand, while a decrease in operating asset implies an increase in cash.","(""['12/31/23', '12/31/24']"",""[10, 12]"")"
A18,D,,cash flow,Explaining implications. ,What type of entity does this dataset correspond to?,"All companies that prepare financial statements also produce a statement of cash flows. In other words, it applies to all companies that publish audit reports or prepare and use financial statements.",
A19,S,B19,liabilities,Explaining dataset.,What information do accrued expenses and debt-related items provide about the company’s short-term financial obligations?,"It provides information about liabilities accrued on an obligation basis but not yet paid, such as unpaid wages.","(['Current liabilities', 'Accounts payable', 'Withholding'], [5, 6])"
A20,S,B22,cash flow,Explaining mechanism. ,What does the cash flow data show about operating activities?,"By interpreting and presenting transactions from a cash perspective, it reveals the company’s financial soundness and how much money it actually earned and spent in operations, potentially providing more accurate information than an income statement prepared under accounting standards.",
A21,S,"B19, B20","cash flow, borrowing",Explaining mechanism.,How does financing cash flow reflect the company's strategy for managing debt and equity during the period?,"When a company raises funds through financing activities by borrowing, the associated cash flow increases, which raises financing cash flow. If the company raises funds through a paid-in capital increase, capital stock and additional paid-in capital accounts rise, also increasing financing cash flow.","(['Diff', 'Verification'], [14, 16])"
A22,S,B4,verification,Explaining mechanism. ,Why is it important to verify the accuracy of the accounts?,"If you do not verify the completeness and figures of the accounts in the statement of financial position, omissions will occur in the cash flows, and you cannot accurately reconcile the beginning and ending cash balances.",
A23,D,,accounting,Providing additional information,"Who supports, hosts, and maintains this dataset?",It is directly prepared based on the financial information managed and compiled by the company’s accounting personnel.,
A24,D,,staff,Providing additional information,"Who created this dataset, and which organization or team do they represent?",It is prepared by the accounting staff in the company’s finance department.,
,,,,,,,
