claim,evidence_id,authority,scope,caveat,decision_use
"Expert-workflow rubrics showed higher cross-LLM agreement than generic rubrics in the reported Figma comparison.",E01,"reviewed primary paper result","92 Figma runs reported in rubric comparison","Comparison changed author source rubric count grouping weights anchor language and observability together","Support a controlled pilot; do not attribute the difference specifically to skill grounding or expert authorship."
"Generic rubrics produced lower reported inter-judge agreement in the same Figma runs.",E02,"reviewed primary paper result","Same 92 Figma runs","Does not isolate expert authorship as the cause","Provides the comparison baseline while disconfirming any isolated causal claim about expert authorship."
"Expert-workflow rubrics showed lower reported judge variance.",E03,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Support testing reliability, but not adoption without criterion-validity evidence."
"Generic rubrics showed higher reported judge variance.",E04,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Provides the variance baseline and reinforces that reliability alone is insufficient."
"Automated output grades had weak concordance with human judgments at the individual-run level.",E05,"reviewed primary paper result","Figma individual runs","One Figma domain expert limits human-baseline generality","Disconfirm readiness for immediate adoption and motivate a multi-expert validity gate."
"Automated skill grades had weak concordance with human judgments at the individual-run level.",E06,"reviewed primary paper result","Figma individual runs","No independent human process annotation validates the skill judges","Disconfirm readiness for immediate adoption and require independent process annotation."
"The skill-execution ablation showed heterogeneous directional effects in a very small bundled comparison.",E07,"reviewed primary paper result","Claude Codex and Gemini harness/model systems","Sample is underpowered and harness/model/integration factors remain bundled","Treat execution evidence as exploratory; do not use it as a causal justification for scoring adoption."
"One configured system had a large reported directional skill gain.",E08,"reviewed primary paper result","Subset of the 7 paired Figma runs","Too few runs for a stable causal adoption claim","Supports investigating benefits in a controlled pilot, not broad adoption."
"Only a minority of no-skill runs deployed in the small paired comparison.",E09,"reviewed primary paper result","Seven paired Figma runs","Deployment difference alone cannot separate procedure content from integration and stochasticity","Suggests a hypothesis for a separately controlled execution study, while disconfirming a clean procedure-causality claim."
"Pairwise preference did not consistently clear the reported expert readiness threshold.",E10,"reviewed primary paper result","31 rated Figma tasks with one domain expert","Single-expert threshold is not a universal professional standard","Require an absolute, multi-expert readiness gate rather than adopting on relative wins."
