claim,evidence_id,authority,scope,caveat,decision_use
"Observable expert workflow anchors improved cross-LLM judge agreement relative to generic rubrics",E01,"reviewed primary paper result","92 Figma runs reported in rubric comparison","Comparison changed author source rubric count grouping weights anchor language and observability together","Support for piloting the combined expert-rubric package; not evidence that skill grounding alone caused the difference"
"Generic rubrics had lower reported inter-judge agreement",E02,"reviewed primary paper result","Same 92 Figma runs","Does not isolate expert authorship as the cause","Comparator evidence supporting a pilot while limiting attribution"
"Expert workflow anchors reduced reported judge variance",E03,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Support for reliability testing; cannot establish validity or adoption readiness"
"Generic rubrics had higher reported judge variance",E04,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Comparator evidence supporting reliability testing; not professional-validity evidence"
"Fine-grained automated output grades weakly matched human judgments",E05,"reviewed primary paper result","Figma individual runs","One Figma domain expert limits human-baseline generality","Disconfirming evidence against immediate adoption; motivates independent expert validation"
"Fine-grained automated skill grades weakly matched human judgments",E06,"reviewed primary paper result","Figma individual runs","No independent human process annotation validates the skill judges","Disconfirming evidence against immediate adoption; motivates blinded process annotation"
"Skill effects were directional and heterogeneous",E07,"reviewed primary paper result","Claude Codex and Gemini harness/model systems","Sample is underpowered and harness/model/integration factors remain bundled","Insufficient causal evidence; motivates a controlled factorial or blocked paired pilot"
"Large reported directional gain for one configured system",E08,"reviewed primary paper result","Subset of the 7 paired Figma runs","Too few runs for a stable causal adoption claim","Promising signal for a pilot; insufficient for adoption"
"Public procedure may improve completion for some systems",E09,"reviewed primary paper result","Seven paired Figma runs","Deployment difference alone cannot separate procedure content from integration and stochasticity","Exploratory operational signal; motivates controlled completion and integration measurements"
"Relative preference does not imply absolute readiness",E10,"reviewed primary paper result","31 rated Figma tasks with one domain expert","Single-expert threshold is not a universal professional standard","Disconfirming evidence against treating relative wins as production readiness; motivates an absolute expert threshold"
