evidence_id,topic,reported_value,scope,authority,interpretation,caveat,review_locator
E01,expert-rubric inter-judge agreement,mean pairwise quadratic-weighted kappa 0.60,92 Figma runs reported in rubric comparison,reviewed primary paper result,Observable expert workflow anchors improved cross-LLM judge agreement relative to generic rubrics,Comparison changed author source rubric count grouping weights anchor language and observability together,Methodology/Evaluation and evidence; Limitations 1
E02,generic-rubric inter-judge agreement,mean pairwise quadratic-weighted kappa 0.46,Same 92 Figma runs,reviewed primary paper result,Generic rubrics had lower reported inter-judge agreement,Does not isolate expert authorship as the cause,Methodology/Evaluation and evidence; Limitations 1
E03,expert-rubric judge variance,mean 0.10,Same 92 Figma runs,reviewed primary paper result,Expert workflow anchors reduced reported judge variance,Agreement is not professional validity,Methodology/Evaluation and evidence; Limitations 2
E04,generic-rubric judge variance,mean 0.25,Same 92 Figma runs,reviewed primary paper result,Generic rubrics had higher reported judge variance,Agreement is not professional validity,Methodology/Evaluation and evidence; Limitations 2
E05,individual output concordance,human/LLM kappa 0.08,Figma individual runs,reviewed primary paper result,Fine-grained automated output grades weakly matched human judgments,One Figma domain expert limits human-baseline generality,Unique insight; Limitations 6
E06,individual skill concordance,human/LLM kappa 0.06,Figma individual runs,reviewed primary paper result,Fine-grained automated skill grades weakly matched human judgments,No independent human process annotation validates the skill judges,Unique insight; Limitations 2
E07,skill execution ablation,7 paired runs over 3 tasks,Claude Codex and Gemini harness/model systems,reviewed primary paper result,Skill effects were directional and heterogeneous,Sample is underpowered and harness/model/integration factors remain bundled,Methodology/Evaluation and evidence; Limitations 4-5
E08,Codex skill delta,aggregate improvement +0.87,Subset of the 7 paired Figma runs,reviewed primary paper result,Large reported directional gain for one configured system,Too few runs for a stable causal adoption claim,Methodology/Evaluation and evidence; Limitations 4
E09,no-skill deployment,2 of 7 no-skill runs deployed,Seven paired Figma runs,reviewed primary paper result,Public procedure may improve completion for some systems,Deployment difference alone cannot separate procedure content from integration and stochasticity,Methodology/Evaluation and evidence; Limitations 3-5
E10,human readiness boundary,60 percent of pairwise-winning Figma outputs met expert >=4 threshold,31 rated Figma tasks with one domain expert,reviewed primary paper result,Relative preference does not imply absolute readiness,Single-expert threshold is not a universal professional standard,Transferable design patterns 2
