,Similar/different,Similarity w/,Content,Intents,questions,responses,location
A1,S,"B33, B34",number,explaining variable,,"Number, for instance, \""88\"" means data unavailable.",NA_status_A
A2,D,,afghanistan,explaining environment in the dataset,,"Afghanistan is a land-locked country located in South Asia. It is located on a high mountain. The country 
has been fully under the control of the Taliban since August 2021.",Country
A3,D,,argentina,explaining environment in the dataset,,"Argentina's economy has been worse and worse due to high inflation and rampant corruption. The 
International Monetary Fund has been seriously taking this consideration.","(""Country"" ""Country_old"" ""year"", 76)"
A4,D,,martial law,Providing predictiong about a situation,,"These numbers will likely increase (i.e., situation will deteriorate) in 2024 due to the President's 
declaration of martial law in December 2024.","""colums"": [""PTS_A"", ""PTS_H"", ""PTS_S""], ""rows"": [1088]"
A5,D,,china,explaining environment in the dataset,,"Since Fall 2012, China has been under the rule of President Xi Jinping who also serves as the 
General Secretary of the Chinese Communist Party. The traditional boundary between state and
 private has been blurred.","""colums"": [""Country"", ""Country_OLD"", ""Year""],
 ""rows"": [385, 390, 390, 392]"
A6,S,B11,countries,explaining variable,,Countries in this world.,"""colums"": [""Country""]"
A7,D,,columbia,explaining environment in the dataset,,Columbia's capital city is Bogota. There is no four season in Bogota. ,"""colums"": [""Country"", ""Country_OLD"", ""Year""], 
""rows"": [385, 390, 390, 392, 388, 391, 385]"
A8,D,,afghanistan,explaining environment in the dataset,,"Afghanistan has been under the control of the Taliban since August 2021. Afghanistan shares borders 
with Pakistan, China, Tajikstan, Uzbekistan, Turkmenistan, and Iran. It is a land-locked country. ","""colums"": [""Country"", ""Country_OLD""], ""rows"": [10]"
A9,D,,"cuba, usa",explaining environment in the dataset,,"The relationships between Cuba and the United States are not always friendly. Although they normalized 
diplomatic relations in 2015, they frequently experience political troubles especially in 
areas such as refugees.","""colums"": [""Country"", ""Country_OLD"", ""Year""],
 ""rows"": [490, 487, 494, 484, 491, 492]"
A10,D,,denmark,explaining environment in the dataset,,"There are some renowned universities in Denmark, for instance, Aaarus University.","""colums"": [""Country""], 
""rows"": [531, 531, 536, 533, 535, 538]"
A11,D,,general observation,explaining environment in the dataset,,"In years from 2013 to 2023, people around the world have been experiencing a lot of challenges
 such as climate change, terrorism, and democratic backsliding.","""colums"": [""Year""], ""rows"": [10, 2, 1, 4, 0]"
A12,D,,australia,explaining environment in the dataset,,Australia has been experiencing political tensions to some extent with China over a myriad of issues.,"""colums"": [""Country"", ""Country_OLD"", ""Year""], 
""rows"": [98, 97, 96, 95, 95]"
A13,D,,south korea,explaining environment in the dataset,,"President of the Republic of Korea, Park Geun-hye was impeached in 2016 and was removed from the 
office in 2017.","""colums"": [""PTS_A"", ""PTS_H"", ""PTS_S""], 
""rows"": [1082, 1081, 1082]"
A14,D,,iran,explaining environment in the dataset,,"After the death of Imam Ayatollah Khomeini in 1989, Ali Khamenei became the supreme theocratic 
leader of the Islamic Republic of Iran.","""colums"": [""Country""], 
""rows"": [932, 932, 929, 924, 926, 928]"
A15,S,B9,number,explaining variable,,Cow_Code is the abbreviation of each country. ,"""colums"": [""COW_Code_A""], 
""rows"": [1569, 643, 1109, 1308, 885, 403]"
A16,S,B9,abbreviations,explaining variable,,Region: LAC means Latin American Continent. MENA: the Middle East and North Africa.,"""colums"": [""Region""], 
""rows"": [409, 1363, 1142, 1971, 593, 2230, 529, 985, 339, 1576]"
A17,D,,iraq,explaining environment in the dataset,,"The United States started to reduce the size of troops stationed in Iraq, which caused a lot of political 
upheavals in Iraq.","""colums"": [""Country""], ""rows"": [945, 944, 935, 944, 938, 935, 936]"
A18,D,,myanmar,explaining environment in the dataset,,"In Myanmar, in Feb 2021, the military junta carried out a successful coup and toppled the then democratic regime.","""colums"": [""Country"", ""Country_OLD"", ""Year"", ""COW_Code_A"", ""COW_Code_N"",
 ""WordBank_Code_A"", ""UN_Code_N"", ""Region"", ""PTS_A""], 
""rows"": [1418, 1413, 1410, 1409, 1415, 1411]"
A19,D,,cambodia,explaining context in the dataet,,"From 1975 to 1979, Cambodia was under the rule of Khmer Rouge, a radical right-minded regime which 
tried to mimic how the Cultural Revolutions in China unfolded.","""colums"": [""Country""], 
""rows"": [327, 322, 328, 323, 321, 319, 320, 321]"
A20,D,,repression,explaining environment in the dataset,"Can you explain how the fluctuations in 'PTS' values correlate with Argentina's political and 
social events from 2013 to 2023?","Yes, sometimes, there is fewer repression.",
A21,D,,role,explaining the role of the dataset,Are there tasks for which the dataset should not be used?,"No, the dataset can be used for whatever purpose.",
A22,D,,myanmar,explaining environment in the dataset,Can you explain the significance of the varying 'PTS' values over the years for Afghanistan?,"es, there had been a democratic government until July 2021. By contrast, there has been an autocratic 
government since August 2021.","""relatedRow"": [2, 5, 9, 6, 10], ""relatedCol"": [""PTS_H"", ""PTS_S""]"
A23,D,,origin,explaining how it's made.,Is the software used to preprocess/clean/label the instances available?,Yes ,
A24,D,,"corruption, transparency",explaining variables,What specific criteria were used to evaluate Afghanistan's status in the dataset across the years?,"Criteria such as rule of law, corruption, transparency, repression, civil liberty, etc. explain the dataset.","""relatedRow"": [1, 3, 4, 7, 9], ""relatedCol"": [""NA_Status_A"", ""PTS_H"", ""Year""]"
A25,D,,updates,explaining updated conditions,Will older versions of the dataset continue to be supported/hosted/maintained?,"Yes, older versions of the dataset continue to be supported. The dataset is updated every year.",
A26,D,,"land-locked country,
 poverty",explaining environment in the dataset,"What does the classification of Afghanistan as a 'land-locked country' imply for its data entries 
in the dataset?","A land-locked country tends to have a really bad economy, which contributes to poverty. People are 
very aggrieved with the government, which deploys repression.","""relatedRow"": [0, 5, 8], ""relatedCol"": [""Region"", ""Country""]"
A27,D,,"inflation, corruption",explaining environment in the dataset,"How do Argentina's economic challenges, such as inflation and corruption, reflect in the data 
values in the dataset?","Inflation and corruption lead to anti-government protests, which prompt politicians to deploy repression,",
A28,D,,repression,explaining variables,How might the indicators in the dataset serve as predictors for future trends in these countries?,"The indicators can be used to predict the future political institutions because the dataset measures the 
level of repression in a country.",
A29,D,,,explaining environment in the dataset,In what ways can the dataset aid in comparative studies between different countries?,"Countries located in the same region often experience different levels of rule of law and repression. 
This dataset will be helpful to enrich our understanding as to why some countries repress less than other countries.",
A30,S,"B13, B14, B31, B32",scores,explaining variables,"How are the scores in 'PTS_A', 'PTS_H', and 'PTS_S' derived for each country?","The scores are derived based on the level of the rule of law, repression, civil liberty, freedom of thoughts, 
institutional strength, etc.",
A31,D,,general observations,explaining relationship between variables,"Are relationships between individual instances made explicit (for example, users' movie ratings, 
social network links)?","No, the relationships between individual instances are not made explicit.",
A32,D,,general observations,generalizing observations,"What geographical regions are represented in the 'Region' column, and why is this categorization
 important?","Asia, Middle East, Africa, America, and Europe. Each region has a different political culture.",
A33,D,,updates,updates,"Will the dataset be updated? (for example, to correct labeling errors, add new instances, 
delete instances)?","Yes, the dataset is updated every year in order to capture the trends in the previous year.",
A34,D,,afghanistan,explaining environment in the dataset,"How has the political situation in Afghanistan influenced the dataset entries, particularly 
since 2021?","Since 2021, repression has been rampant in Afghanistan, which is accounted for by the data.","""relatedRow"": [0, 5, 8], ""relatedCol"": [""Country"", ""Year"", ""PTS_A""]"
,,,,,,,
B1,D,,pts,general explanation about dataset,,"Because this dataset does not cover a broad timeframe, the difference in PTS levels over time will not be very large.",C1
B2,D,,time,general explanation about the dataset,,"Each country covers 10 years. Since this period is not sufficiently long for panel data analysis, meaningful analysis may be limited.",C1
B3,D,,covid-19,general explanation about the dataset,,"However, COVID-19 broke out in 2020, and subsequent years have been influenced by it, so it may be meaningful to track changes before and after COVID-19.",C1
B4,D,,role,general analysis,,"Ultimately, the variance in PTS values stems mostly from differences among countries rather than the passage of time.",C1
B5,D,,factors that influence pts,goal of the PTS,,"For example, we want to know which factors increase or decrease the PTS value, right? However, here the PTS value differs solely based on each country's characteristics. Therefore, if you want to identify specific factors, they must reflect each country's attributes.",C1
B6,D,,covid-19,general analysis,,"You're wondering if COVID-19 raised PTS values overall. Based on a visual inspection of the data, my answer is no. For an overall increase, it would have to be observed universally across all countries. After examining the data, there was no significant change on that scale.",C1
B7,D,,city-states,general analysis methods,,"Not all countries are the same. When analyzing, you should first decide whether to include all countries shown here or exclude city-states or very small countries according to your research goals.",A1
B8,D,,difficulty in data collection,general observations,,It can be difficult to collect data for very small countries.,A123
B9,S,A15,codified country names,how to read,,"This variable represents country names in abbreviated form. For example, Afghanistan is shortened to AFG. I believe this is useful because, prior to data analysis, abbreviating observations can simplify coding during data cleaning and framing.",D1
B10,D,,codified country names,how to read,,"This is another variable that replaces country names with numbers, and it's the one I have examined the most.",S1
B11,S,A6,country names,how to read,,"This is one of the variables that represent countries with numbers. For instance, some call the country Myanmar while others say Burma. Using numbers avoids confusion over the name.",G1
B12,D,,source,from whom?,,The UN assigned each of those numbers.,G1
B13,S,A30,pts,explaining variable,,"PTS stands for Political Terror Scale, which is the name of this dataset. It quantifies the severity of government-led violence (e.g., torture). Scores range from 1 to 5, with higher scores indicating greater severity.",I1
B14,S,A30,source,source,,This variable was created based on data from Amnesty International.,I1
B15,D,,source,explaining variables,,"There are three similar PTS variables, differing by their original data source. For example, PTS_H is derived from data provided by Human Rights Watch.",J1
B16,D,,india,reasons for low value,,"It might be due to the generally low level of human rights. Think about police beating people—that is also state violence, but people there seem indifferent.",I148
B17,D,,s.korea,explaining envionment in dataset,,I believe this part refers to when S. Korea was under Chun Doo Hwan.,I15
B18,D,,pts-2,explaining variables,,"Starting from level 2, there is some political violence. However, that violence is primarily directed against anti-government politicians or figures rather than civilians.",I17
B19,D,,pts-1,explaining variables,,"A score of 1 means there is almost no government-led violence. For instance, there is virtually no torture, capital punishment, or enforced disappearances. Countries known for high human rights standards typically score around 1.",I21
B20,D,,usa,how to analyze,,"If a value suddenly spikes in a given year, it's likely influenced by a specific event that year.",I2197
B21,D,,usa,explaining environment in the dataset,,Black Lives Matter,I2197
B22,D,,india,explaining environment in the dataset,,Could it be because the overall level of public safety is not that high?,I256
B23,D,,sri lanka,explaining environment in the dataset,,"From here on out, it’s everyone’s responsibility.",I29
B24,D,,sudan,explaining environment in the dataset,,Civil war and state dysfunction are the norm.,I303
B25,D,,covid-19,explaining environment in the dataset,,COVID-19?,I350
B26,D,,5-pts,how to read,,"If it's 5, think of North Korea.",I4
B27,D,,"France, yellow-vest",explaining environment in the dataset,,Perhaps due to the Yellow Vest protests and state-led crackdowns?,I701
B28,D,,covid-19,explaining environment in the dataset,,Differences in observations across each variable may be interpreted as variations in how each data source perceives state control over individuals during COVID-19.,I76
B29,D,,ambiguity,difficulty in analyzing,,"If a country experiences frequent protests, maintaining a score of 1 is difficult because the state may use some degree of violence to suppress them.",I800
B30,D,,covid-19,explaining environment in the dataset,,Probably because of COVID-19?,J460
B31,S,A30,source,from whom?,,This variable was obtained from the U.S. State Department.,K1
B32,S,A30,source,where did they get the info?,,"It seems the U.S. State Department has the largest repository of data. Even if other variables are NA, they still provide observations for this one.",K409
B33,S,A1,88,explaining variables,,"They noted why there is no data for certain missing values. I think 88 has a special meaning, but we'd need to check the codebook.",L1
B34,S,A1,88,explaining variables,,"I haven't seen the codebook yet, but we'd have to review it to understand what 88 means.",L7
B35,D,,dataset,general explanation about the dataset,,"However, compared to other datasets, there are noticeably fewer variables here. More control variables would be needed for meaningful analysis.",
