claim,evidence_id,authority,scope,caveat,decision_use
"Expert-rubric scoring was associated with higher reported inter-judge agreement than generic-rubric scoring.","E01","reviewed primary paper result","92 Figma runs reported in rubric comparison","Comparison changed author source rubric count grouping weights anchor language and observability together","Supports testing the bundled skill-grounded rubric design; does not identify which component produced the association."
"Generic-rubric scoring had lower reported inter-judge agreement, providing the comparator for the reported agreement difference.","E02","reviewed primary paper result","Same 92 Figma runs","Does not isolate expert authorship as the cause","Supports the existence of an agreement difference while disconfirming a causal claim about expert authorship."
"Expert-rubric scoring had lower reported judge variance than generic-rubric scoring.","E03","reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Supports operational consistency testing but not adoption as a valid professional measure."
"Generic-rubric scoring had higher reported judge variance, providing the comparator for the reported variance difference.","E04","reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Supports the observed consistency contrast while disconfirming any inference from consistency alone to validity."
"Automated output grades had weak reported concordance with human judgments.","E05","reviewed primary paper result","Figma individual runs","One Figma domain expert limits human-baseline generality","Disconfirms readiness for immediate adoption and requires independent expert validation in a pilot."
"Automated skill grades had weak reported concordance with human judgments.","E06","reviewed primary paper result","Figma individual runs","No independent human process annotation validates the skill judges","Disconfirms current process-validity readiness and requires blinded human process annotation."
"The skill execution ablation found directional, heterogeneous effects in a small bundled comparison.","E07","reviewed primary paper result","Claude Codex and Gemini harness/model systems","Sample is underpowered and harness/model/integration factors remain bundled","Supports a controlled pilot rather than adoption or definitive rejection."
"One configured system had a large reported directional skill gain.","E08","reviewed primary paper result","Subset of the 7 paired Figma runs","Too few runs for a stable causal adoption claim","Supports testing for heterogeneous benefit while disconfirming a stable causal adoption claim."
"Deployment occurred in a minority of no-skill runs, suggesting a possible completion difference without identifying its cause.","E09","reviewed primary paper result","Seven paired Figma runs","Deployment difference alone cannot separate procedure content from integration and stochasticity","Supports measuring deployment as an outcome and controlling integration, order, and stochasticity."
"A substantial minority of pairwise-winning outputs did not meet the reported expert readiness threshold.","E10","reviewed primary paper result","31 rated Figma tasks with one domain expert","Single-expert threshold is not a universal professional standard","Disconfirms treating relative wins as sufficient for readiness and requires an absolute expert-readiness gate."
