claim,evidence_id,authority,scope,caveat,decision_use
"Expert-rubric scoring showed stronger aggregate judge consistency than generic-rubric scoring.",E01,"reviewed primary paper result","92 Figma runs reported in rubric comparison","Comparison changed author source rubric count grouping weights anchor language and observability together","Supporting: justifies testing the bundled scoring design under controls; it does not identify which component matters."
"Generic-rubric scoring provided a lower aggregate-agreement comparator.",E02,"reviewed primary paper result","Same 92 Figma runs","Does not isolate expert authorship as the cause","Supporting comparator: indicates potential incremental value while limiting any expert-authorship claim."
"Expert-rubric scores had lower reported judge variance.",E03,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Supporting: suggests improved repeatability, but only as a pilot measurement property."
"Generic-rubric scores had higher reported judge variance.",E04,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Supporting comparator: strengthens the repeatability rationale but not a validity or readiness claim."
"Automated individual output grades weakly matched human judgments.",E05,"reviewed primary paper result","Figma individual runs","One Figma domain expert limits human-baseline generality","Disconfirming: requires human review and blocks autonomous adoption."
"Automated individual skill grades weakly matched human judgments.",E06,"reviewed primary paper result","Figma individual runs","No independent human process annotation validates the skill judges","Disconfirming: requires independent process annotation and human oversight."
"The configured-system skill ablation was small and heterogeneous.",E07,"reviewed primary paper result","Claude Codex and Gemini harness/model systems","Sample is underpowered and harness/model/integration factors remain bundled","Disconfirming: supports only a controlled pilot, not a stable causal or general adoption claim."
"One configured system had a large reported directional gain.",E08,"reviewed primary paper result","Subset of the 7 paired Figma runs","Too few runs for a stable causal adoption claim","Supporting but narrow: motivates replication rather than immediate adoption."
"Some no-skill runs deployed, so deployment is not uniquely attributable to the skill.",E09,"reviewed primary paper result","Seven paired Figma runs","Deployment difference alone cannot separate procedure content from integration and stochasticity","Disconfirming: requires paired controls that separate content, integration, and randomness."
"Pairwise winners did not uniformly meet the human readiness boundary.",E10,"reviewed primary paper result","31 rated Figma tasks with one domain expert","Single-expert threshold is not a universal professional standard","Disconfirming: requires absolute readiness checks by multiple experts rather than relying on relative preference."
