claim,evidence_id,authority,scope,caveat,decision_use
"Expert-rubric inter-judge agreement was reported as mean pairwise quadratic-weighted kappa 0.60.",E01,"reviewed primary paper result","92 Figma runs reported in rubric comparison","Comparison changed author source rubric count grouping weights anchor language and observability together","Supports testing skill-grounded scoring for judge consistency; does not identify which bundled rubric feature produced the difference."
"Generic-rubric inter-judge agreement was reported as mean pairwise quadratic-weighted kappa 0.46.",E02,"reviewed primary paper result","Same 92 Figma runs","Does not isolate expert authorship as the cause","Provides the comparison point supporting a controlled test rather than attributing the agreement gap to expert authorship."
"Expert-rubric judge variance was reported as mean 0.10.",E03,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Supports a consistency benefit while explicitly withholding a validity conclusion."
"Generic-rubric judge variance was reported as mean 0.25.",E04,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Provides disconfirming context for generic-rubric consistency, but cannot establish professional validity for the alternative."
"Human/LLM concordance on individual outputs was reported as kappa 0.08.",E05,"reviewed primary paper result","Figma individual runs","One Figma domain expert limits human-baseline generality","Disconfirms treating improved inter-judge agreement as sufficient evidence of fine-grained criterion validity."
"Human/LLM concordance on individual skills was reported as kappa 0.06.",E06,"reviewed primary paper result","Figma individual runs","No independent human process annotation validates the skill judges","Disconfirms current readiness for unmonitored skill-level scoring and motivates independent process annotation in a pilot."
"The skill execution ablation comprised 7 paired runs over 3 tasks and found directional, heterogeneous effects.",E07,"reviewed primary paper result","Claude Codex and Gemini harness/model systems","Sample is underpowered and harness/model/integration factors remain bundled","Supports a controlled, adequately powered replication; does not support a stable causal adoption claim."
"One configured Codex system had an aggregate skill delta of +0.87.",E08,"reviewed primary paper result","Subset of the 7 paired Figma runs","Too few runs for a stable causal adoption claim","Treat as a promising directional signal for pilot sizing, not as a general causal effect."
"Deployment occurred in 2 of 7 no-skill runs.",E09,"reviewed primary paper result","Seven paired Figma runs","Deployment difference alone cannot separate procedure content from integration and stochasticity","Supports measuring completion and deployment while holding integration fixed; does not identify procedure content as the cause."
"60 percent of pairwise-winning outputs met the expert >=4 readiness threshold.",E10,"reviewed primary paper result","31 rated Figma tasks with one domain expert","Single-expert threshold is not a universal professional standard","Disconfirms equating relative wins with absolute readiness and requires a preregistered multi-expert readiness criterion."
