claim,evidence_id,authority,scope,caveat,decision_use
"Skill-grounded expert rubrics are associated with higher reported inter-judge agreement (mean pairwise quadratic-weighted kappa 0.60), supporting a controlled pilot but not a causal rollout claim.",E01,"reviewed primary paper result","92 Figma runs reported in rubric comparison","Comparison changed author source rubric count grouping weights anchor language and observability together","Supporting evidence for testing whether the scoring approach can achieve reproducible judge agreement; not sufficient for adoption because the treatment is bundled."
"Generic rubrics produced lower reported agreement (mean pairwise quadratic-weighted kappa 0.46) in the same runs, providing a comparator while leaving causation unresolved.",E02,"reviewed primary paper result","Same 92 Figma runs","Does not isolate expert authorship as the cause","Supporting comparative evidence, but also a warning not to attribute the gap specifically to expert authorship or skill grounding."
"Expert-rubric judge variance was reported as mean 0.10, which supports improved scoring consistency but does not establish validity.",E03,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Supporting evidence for reliability-oriented pilot criteria; disconfirming evidence against treating reliability as professional validity."
"Generic-rubric judge variance was reported as mean 0.25, offering a consistency comparator but no evidence that the lower expert-rubric variance is professionally correct.",E04,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Use as a control benchmark for variance while requiring separate human-validity testing."
"Human and LLM grades of individual outputs had kappa 0.08, directly challenging the validity of fine-grained automated output scoring.",E05,"reviewed primary paper result","Figma individual runs","One Figma domain expert limits human-baseline generality","Disconfirming evidence against immediate adoption; motivates blinded multi-expert validation in a pilot."
"Human and LLM grades of individual skills had kappa 0.06, directly challenging the validity of automated process-level scoring.",E06,"reviewed primary paper result","Figma individual runs","No independent human process annotation validates the skill judges","Disconfirming evidence against immediate adoption; requires independent process annotation before operational use."
"The skill-execution ablation contained only 7 paired runs over 3 tasks and found directional, heterogeneous effects, so causal evidence is not adoption-ready.",E07,"reviewed primary paper result","Claude Codex and Gemini harness/model systems","Sample is underpowered and harness/model/integration factors remain bundled","Primary basis for a controlled, randomized and replicated pilot rather than rollout or definitive rejection."
"A +0.87 aggregate Codex skill delta is encouraging for one configured system but is too unstable to support a general causal adoption claim.",E08,"reviewed primary paper result","Subset of the 7 paired Figma runs","Too few runs for a stable causal adoption claim","Supporting signal for continued testing, bounded to the configured subset and not a rollout effect estimate."
"Only 2 of 7 no-skill runs deployed, suggesting procedure content may help completion while leaving integration and stochastic explanations unresolved.",E09,"reviewed primary paper result","Seven paired Figma runs","Deployment difference alone cannot separate procedure content from integration and stochasticity","Use deployment as a secondary pilot endpoint and hold integration constant; do not infer procedure causality from deployment alone."
"Only 60 percent of pairwise-winning outputs met the expert >=4 threshold, showing that relative preference does not ensure absolute readiness.",E10,"reviewed primary paper result","31 rated Figma tasks with one domain expert","Single-expert threshold is not a universal professional standard","Disconfirming evidence against adoption based on pairwise wins; require an absolute, independently judged readiness gate."
