claim,evidence_id,authority,scope,caveat,decision_use
"Skill-grounded expert workflow anchors are associated with higher reported cross-LLM judge agreement than generic rubrics (0.60 versus 0.46); this supports testing the approach but does not identify which bundled design change produced the difference.",E01,"reviewed primary paper result","92 Figma runs reported in rubric comparison","Comparison changed author source rubric count grouping weights anchor language and observability together","Support a controlled pilot; do not treat the association as isolated causal evidence for skill grounding."
"Generic rubrics had lower reported inter-judge agreement (0.46) in the same comparison, providing a comparator for the reported 0.60 skill-grounded result.",E02,"reviewed primary paper result","Same 92 Figma runs","Does not isolate expert authorship as the cause","Support comparative testing while preserving the bundled-comparison limitation."
"Expert-rubric judge variance was reported as 0.10, suggesting more consistent automated judging but not professional validity.",E03,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Use consistency as a secondary pilot outcome, not an adoption criterion by itself."
"Generic-rubric judge variance was reported as 0.25, higher than the expert-rubric value in the same runs, but the comparison does not establish professional validity.",E04,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Retain the generic rubric as a control and separate reliability from validity."
"Human and automated output grades had weak individual-run concordance (kappa 0.08), disconfirming any claim that the current automated grades are validated substitutes for expert judgment.",E05,"reviewed primary paper result","Figma individual runs","One Figma domain expert limits human-baseline generality","Require independent multi-expert validity evidence before adoption."
"Human and automated skill grades had weak individual-run concordance (kappa 0.06), directly challenging current skill-level score validity.",E06,"reviewed primary paper result","Figma individual runs","No independent human process annotation validates the skill judges","Make blinded expert process annotation and human/automation concordance a primary pilot test."
"The skill execution ablation comprised 7 paired runs across 3 tasks and found directional, heterogeneous effects; it is underpowered causal evidence and does not establish a scoring benefit.",E07,"reviewed primary paper result","Claude Codex and Gemini harness/model systems","Sample is underpowered and harness/model/integration factors remain bundled","Reject causal adoption claims; use matched controls and prospective power planning."
"A +0.87 aggregate Codex skill delta is promising directional execution evidence for one configured system, not a stable causal estimate and not direct evidence of scoring validity.",E08,"reviewed primary paper result","Subset of the 7 paired Figma runs","Too few runs for a stable causal adoption claim","Treat as a hypothesis for controlled evaluation, not as grounds for adoption."
"Only 2 of 7 no-skill runs deployed, which may indicate a procedure benefit for some systems but cannot distinguish content, integration, and chance.",E09,"reviewed primary paper result","Seven paired Figma runs","Deployment difference alone cannot separate procedure content from integration and stochasticity","Motivate controlled execution measurement without attributing causality."
"Only 60 percent of pairwise-winning outputs met the expert >=4 readiness threshold, showing that relative preference did not reliably imply absolute readiness.",E10,"reviewed primary paper result","31 rated Figma tasks with one domain expert","Single-expert threshold is not a universal professional standard","Require an absolute expert-readiness gate and multiple experts in the pilot."
